study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
laptop,14,14,0,1.02962963,0.847031,,,,,,,,,,,,0,14,14,5,,,,,20.1808175,,20.1683023,20.1808175,20.1808175,21.031554,1.02962963,0.847031,,,,,,,,,,,,,,,,324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,0,0,0,,,_ho_e,phone,old,phone,[np.float64(0.04259259259259259)],[np.float64(-0.29444444444444445)],[1],[0],[0],[11.402337299892679],['submit_text'],,,,,0,0,0,12,21.0608659,,,,,,,,21.0449995,21.0608659,21.0608659,21.0608659,0.0134488,31.063053,32.4476752,phone,[np.float64(0.04259259259259259)],[np.float64(-0.29444444444444445)],[1],[0],[0],[11.402337299892679],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,1,1,0,,,p_st_r,poster,old,pastry,"[np.float64(0.1), np.float64(0.13518518518518519)]","[np.float64(-0.26481481481481484), np.float64(-0.30092592592592593)]","[1, 1]","[0, 0]","[0, 0]","[4.545940499985591, 5.68194800009951]","[None, 'submit_text']",,,,,0,1,1,9,32.4627903,,,,,,,,32.4521454,32.4627903,32.4627903,32.4627903,0.0042547,,38.1348673,pastry,"[np.float64(0.1), np.float64(0.13518518518518519)]","[np.float64(-0.26481481481481484), np.float64(-0.30092592592592593)]","[1, 1]","[0, 0]","[0, 0]","[4.545940499985591, 5.68194800009951]","[None, 'submit_text']",324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,2,2,0,,,_o_rd,board,old,board,[np.float64(0.075)],[np.float64(-0.32592592592592595)],[1],[0],[0],[5.503356499830261],['submit_text'],,,,,0,2,2,10,38.1566068,,,,,,,,38.1450055,38.1566068,38.1566068,38.1566068,0.0091878,,43.6489926,board,[np.float64(0.075)],[np.float64(-0.32592592592592595)],[1],[0],[0],[5.503356499830261],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,3,3,0,,,ta_l_,table,new,table,[np.float64(0.06018518518518518)],[np.float64(-0.31296296296296294)],[1],[0],[0],[5.752704600105062],['submit_text'],,,,,0,3,3,15,43.679638,,,,,,,,43.6593473,43.679638,43.679638,43.679638,0.0099562,,49.412756,table,[np.float64(0.06018518518518518)],[np.float64(-0.31296296296296294)],[1],[0],[0],[5.752704600105062],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,4,4,0,,,c_s_,case,old,case,[np.float64(0.1)],[np.float64(-0.3074074074074074)],[1],[0],[0],[5.015433099819347],['submit_text'],,,,,0,4,4,5,49.4280022,,,,,,,,49.4162202,49.4280022,49.4280022,49.4280022,0.0033054,,54.4320158,case,[np.float64(0.1)],[np.float64(-0.3074074074074074)],[1],[0],[0],[5.015433099819347],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,5,5,0,,,k_y_,keys,old,keys,[np.float64(0.06111111111111111)],[np.float64(-0.3101851851851852)],[1],[0],[0],[4.274849200155586],['submit_text'],,,,,0,5,5,8,54.4481247,,,,,,,,54.4358079,54.4481247,54.4481247,54.4481247,0.0036381,,58.7109535,keys,[np.float64(0.06111111111111111)],[np.float64(-0.3101851851851852)],[1],[0],[0],[4.274849200155586],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,6,6,0,,,c_s_io_,cushion,old,cushion,[np.float64(0.10185185185185185)],[np.float64(-0.28703703703703703)],[1],[0],[0],[5.629780399845913],['submit_text'],,,,,0,6,6,14,58.7268748,,,,,,,,58.7137868,58.7268748,58.7268748,58.7268748,0.0027432,,64.3438715,cushion,[np.float64(0.10185185185185185)],[np.float64(-0.28703703703703703)],[1],[0],[0],[5.629780399845913],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,7,7,0,,,p_nc_l,pencil,new,pencil,"[np.float64(0.13055555555555556), np.float64(0.11296296296296296)]","[np.float64(-0.33055555555555555), np.float64(-0.2814814814814815)]","[1, 1]","[0, 0]","[0, 0]","[3.9499053000472486, 4.980438500177115]","[None, 'submit_text']",,,,,0,7,7,16,64.3597928,,,,,,,,64.3470634,64.3597928,64.3597928,64.3597928,0.0030489,,69.3278007,pencil,"[np.float64(0.13055555555555556), np.float64(0.11296296296296296)]","[np.float64(-0.33055555555555555), np.float64(-0.2814814814814815)]","[1, 1]","[0, 0]","[0, 0]","[3.9499053000472486, 4.980438500177115]","[None, 'submit_text']",324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,8,8,0,,,c_m_ra,camera,new,camera,[np.float64(0.08148148148148149)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.3964629999827594],['submit_text'],,,,,0,8,8,19,69.3434643,,,,,,,,69.3308239,69.3434643,69.3434643,69.3434643,0.00291,,72.7276638,camera,[np.float64(0.08148148148148149)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.3964629999827594],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,9,9,0,,,p_li_e,police,old,police,"[np.float64(0.07314814814814814), np.float64(0.09259259259259259)]","[np.float64(-0.3425925925925926), np.float64(-0.28888888888888886)]","[1, 1]","[0, 0]","[0, 0]","[4.646029899828136, 5.678130500018597]","[None, 'submit_text']",,,,,0,9,9,7,72.7437256,,,,,,,,72.7314382,72.7437256,72.7437256,72.7437256,0.0036391,,78.4099746,police,"[np.float64(0.07314814814814814), np.float64(0.09259259259259259)]","[np.float64(-0.3425925925925926), np.float64(-0.28888888888888886)]","[1, 1]","[0, 0]","[0, 0]","[4.646029899828136, 5.678130500018597]","[None, 'submit_text']",324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,10,10,0,,,v_s_,vase,new,vase,[np.float64(0.05648148148148148)],[np.float64(-0.28888888888888886)],[1],[0],[0],[3.3113900998141617],['submit_text'],,,,,0,10,10,17,78.4259628,,,,,,,,78.4146392,78.4259628,78.4259628,78.4259628,0.0044982,,81.7263697,vase,[np.float64(0.05648148148148148)],[np.float64(-0.28888888888888886)],[1],[0],[0],[3.3113900998141617],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,11,11,0,,,l_pt_p,laptop,old,laptop,[np.float64(0.046296296296296294)],[np.float64(-0.3)],[1],[0],[0],[4.647309300024062],['submit_text'],,,,,0,11,11,0,81.7424657,,,,,,,,81.7290347,81.7424657,81.7424657,81.7424657,0.0025642,,86.3768146,laptop,[np.float64(0.046296296296296294)],[np.float64(-0.3)],[1],[0],[0],[4.647309300024062],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,12,12,0,,,_ha_t,chart,old,shaft,[np.float64(0.11851851851851852)],[np.float64(-0.30925925925925923)],[1],[0],[0],[10.427567299921066],['submit_text'],,,,,0,12,12,1,86.391802,,,,,,,,86.3807108,86.391802,86.391802,86.391802,0.003649,96.4159135,96.8087697,shaft,[np.float64(0.11851851851851852)],[np.float64(-0.30925925925925923)],[1],[0],[0],[10.427567299921066],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,13,13,0,,,bo_t_e,bottle ,new,bottle,[np.float64(0.14074074074074075)],[np.float64(-0.29074074074074074)],[1],[0],[0],[5.834086199989542],['submit_text'],,,,,0,13,13,18,96.8261794,,,,,,,,96.8125366,96.8261794,96.8261794,96.8261794,0.003643,,102.6476662,bottle,[np.float64(0.14074074074074075)],[np.float64(-0.29074074074074074)],[1],[0],[0],[5.834086199989542],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,14,14,0,,,_o_se,mouse,old,loose,[np.float64(0.08425925925925926)],[np.float64(-0.29259259259259257)],[1],[0],[0],[8.731947799911723],['submit_text'],,,,,0,14,14,3,102.6805656,,,,,,,,102.6575892,102.6805656,102.6805656,102.6805656,0.0095211,,111.3902115,loose,[np.float64(0.08425925925925926)],[np.float64(-0.29259259259259257)],[1],[0],[0],[8.731947799911723],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,15,15,0,,,P_s_r_,pastry,old,pastry,[np.float64(0.0824074074074074)],[np.float64(-0.32407407407407407)],[1],[0],[0],[7.625964100006968],['submit_text'],,,,,0,15,15,4,111.4060292,,,,,,,,111.3965516,111.4060292,111.4060292,111.4060292,0.0062304,,119.0228878,pastry,[np.float64(0.0824074074074074)],[np.float64(-0.32407407407407407)],[1],[0],[0],[7.625964100006968],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,16,16,0,,,_a_bl_,marble,old,marble,"[np.float64(0.05185185185185185), np.float64(0.07685185185185185), np.float64(0.17037037037037037), np.float64(0.10925925925925926)]","[np.float64(-0.20833333333333334), np.float64(-0.33055555555555555), np.float64(-0.2851851851851852), np.float64(-0.30185185185185187)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7.54526609997265, 8.579530499875546, 10.178434900008142, 12.245114899938926]","[None, None, None, 'submit_text']",,,,,0,16,16,11,119.0384386,,,,,,,,119.0264348,119.0384386,119.0384386,119.0384386,0.0034921,129.0375112,131.2720539,marble,"[np.float64(0.05185185185185185), np.float64(0.07685185185185185), np.float64(0.17037037037037037), np.float64(0.10925925925925926)]","[np.float64(-0.20833333333333334), np.float64(-0.33055555555555555), np.float64(-0.2851851851851852), np.float64(-0.30185185185185187)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[7.54526609997265, 8.579530499875546, 10.178434900008142, 12.245114899938926]","[None, None, None, 'submit_text']",324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,17,17,0,,,_oo_,book,old,fool,[np.float64(0.10648148148148148)],[np.float64(-0.31574074074074077)],[1],[0],[0],[6.378416699822992],['submit_text'],,,,,0,17,17,13,131.2888125,,,,,,,,131.274813,131.2888125,131.2888125,131.2888125,0.0025226,,137.6537166,fool,[np.float64(0.10648148148148148)],[np.float64(-0.31574074074074077)],[1],[0],[0],[6.378416699822992],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,18,18,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(0.08518518518518518)],[np.float64(-0.2962962962962963)],[1],[0],[0],[3.278831999981776],['submit_text'],,,,,0,18,18,2,137.6689799,,,,,,,,137.6571902,137.6689799,137.6689799,137.6689799,0.0032809,,140.9367333,tshirt,[np.float64(0.08518518518518518)],[np.float64(-0.2962962962962963)],[1],[0],[0],[3.278831999981776],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,19,19,0,,,_r_i_e,cruise,old,brief,[np.float64(0.08611111111111111)],[np.float64(-0.3037037037037037)],[1],[0],[0],[16.29630529996939],['submit_text'],,,,,0,19,19,6,140.9603601,,,,,,,,140.9429772,140.9603601,140.9603601,140.9603601,0.0059745,150.9685465,157.2406501,brief,[np.float64(0.08611111111111111)],[np.float64(-0.3037037037037037)],[1],[0],[0],[16.29630529996939],['submit_text'],324005,1,2025-10-14_09h36.20.728,word priming,,2025.1.1,59.95451848,2025-10-14 09h36.26.605068 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,p(hit)old,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,new,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,priming,-0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
